ENSG,geneSymbol,chr,tss,z,p
ENSG00000100034,PPM1F,chr22,22273792,2.4141603282385566,0.015771520705110217
ENSG00000182541,LIMK2,chr22,31608224,-2.299040130197988,0.02150266064337309
ENSG00000100364,KIAA0930,chr22,45586218,-2.292194955183068,0.021894395936130347
ENSG00000184068,RP5-821D11.7,chr22,42227218,-2.2681908044952452,0.02331757968094705
ENSG00000138942,RNF185,chr22,31556167,2.2443678858151355,0.02480874099747293
ENSG00000128159,TUBGCP6,chr22,50656117,2.2442343491163546,0.024817327068435837
ENSG00000099901,RANBP1,chr22,20103460,-2.2361843213219257,0.025339699805198356
ENSG00000177989,ODF3B,chr22,50968138,2.22098561414366,0.026351935775674514
ENSG00000225465,RFPL1S,chr22,29832817,2.202820086904976,0.027607431816060804
ENSG00000198089,SFI1,chr22,31892260,-2.199007867617675,0.027877362876870832
ENSG00000100429,HDAC10,chr22,50683611,-2.182007554804096,0.029108975164857005
ENSG00000184436,THAP7,chr22,21353392,-2.1658682522966117,0.03032125594557506
ENSG00000273188,RP3-402G11.25,chr22,50630152,-2.101354733122984,0.03560983845134669
ENSG00000273164,DGCR10,chr22,19010568,-2.092184510294347,0.036422013577423626
ENSG00000100353,EIF3D,chr22,36906896,2.0447195342126423,0.04088251664870003
ENSG00000170638,TRABD,chr22,50624343,2.039596827909466,0.0413904982601202
ENSG00000205853,RFPL3S,chr22,32758960,-2.025919207309451,0.04277306461093722
ENSG00000099957,P2RX6,chr22,21364096,-1.95014507582114,0.051158829987134585
ENSG00000182858,ALG12,chr22,50293876,1.942694825707752,0.0520530417937668
ENSG00000214076,CPSF1P1,chr22,32665367,1.912371988813926,0.0558284981832465
ENSG00000242259,C22orf39,chr22,19338890,-1.86980180294744,0.061511345915172384
ENSG00000100142,POLR2F,chr22,38349703,1.8079783771292817,0.07060986598425445
ENSG00000184164,CRELD2,chr22,50311814,-1.7972895143588463,0.07228966998699586
ENSG00000099889,ARVCF,chr22,19957418,-1.778083089253414,0.07539020941039128
ENSG00000215012,C22orf29,chr22,19833660,-1.7746914422733402,0.07594884912002169
ENSG00000236540,AC006547.13,chr22,20050533,1.7693552615323886,0.07683460666828967
ENSG00000230513,THAP7-AS1,chr22,21356174,1.762389966645061,0.07800343267224688
ENSG00000235954,TTC28-AS1,chr22,28315363,1.7531660665958495,0.07957350584436586
ENSG00000188130,MAPK12,chr22,50683878,-1.7496875922530608,0.08017223587097055
ENSG00000100296,THOC5,chr22,29901867,1.7377660200565141,0.08225205034087696
ENSG00000100299,ARSA,chr22,51061181,1.730139866314641,0.08360528900068705
ENSG00000184979,USP18,chr22,18632665,-1.7277052301908788,0.08404108539041281
ENSG00000099949,LZTR1,chr22,21333750,-1.7130138771409689,0.08670998662811298
ENSG00000260708,CTA-29F11.1,chr22,47157790,1.6970833485850896,0.08968090384153386
ENSG00000188677,PARVB,chr22,44395090,1.6631203038403732,0.09628835638364312
ENSG00000254413,CHKB-CPT1B,chr22,51007297,-1.6341422902519154,0.10222897675005314
ENSG00000205593,DENND6B,chr22,50747458,1.623252034187317,0.10453553860490453
ENSG00000172250,SERHL,chr22,42896584,1.6165437523411683,0.10597680181710788
ENSG00000100100,PIK3IP1,chr22,31677578,1.6124302052613608,0.10686835638940503
ENSG00000100077,ADRBK2,chr22,25960815,1.5885844230651855,0.11215424724306446
ENSG00000219438,FAM19A5,chr22,48885271,-1.5795934200286863,0.11420000710314886
ENSG00000100292,HMOX1,chr22,35776353,-1.561498001617828,0.1184062949892081
ENSG00000100243,CYB5R3,chr22,43013845,-1.551284594778818,0.12083349697094772
ENSG00000184983,NDUFA6,chr22,42481528,1.5101544308907704,0.13100402327472122
ENSG00000100219,XBP1,chr22,29190542,1.5071220153040457,0.13177938471592684
ENSG00000099917,MED15,chr22,20850199,-1.4897020899570153,0.13630258485118682
ENSG00000231711,LINC00899,chr22,46435786,-1.4844356393693003,0.1376933857480703
ENSG00000100092,SH3BP1,chr22,38030660,-1.4835079706671126,0.1379395003277401
ENSG00000100241,SBF1,chr22,50883428,1.4649675054871023,0.14292978346587687
ENSG00000167077,MEI1,chr22,42095502,1.4575246787006282,0.1449716041824354
ENSG00000184319,RPL23AP82,chr22,51195375,-1.4543326881680885,0.1458540919694745
ENSG00000235478,AC006946.15,chr22,17602475,-1.4324835352635037,0.1520054868175131
ENSG00000273287,CTA-268H5.14,chr22,45658165,1.4082579755099685,0.15905469466701594
ENSG00000100341,PNPLA5,chr22,44275557,1.3948944581714622,0.16304766854034547
ENSG00000100036,SLC35E4,chr22,31032509,-1.3913462162017822,0.16412046554934612
ENSG00000128340,RAC2,chr22,37621300,-1.3837475627372628,0.16643576433444307
ENSG00000223704,RP1-90L6.2,chr22,27254596,1.3837006461234165,0.16645013565081368
ENSG00000205560,CPT1B,chr22,51007289,-1.3609618392171616,0.17352574931303633
ENSG00000185608,MRPL40,chr22,19419424,1.3526742455671923,0.17615972167255334
ENSG00000100225,FBXO7,chr22,32870662,-1.3296925120653702,0.18361960296746205
ENSG00000273032,DGCR9,chr22,19005346,1.3073707230308451,0.1910868355086344
ENSG00000100014,SPECC1L,chr22,24666785,-1.2757430533169922,0.20204636395140985
ENSG00000128298,BAIAP2L2,chr22,38480895,-1.2733514191749689,0.2028933681233485
ENSG00000100360,IFT27,chr22,37154245,1.26877125337255,0.2045226607089028
ENSG00000273253,RP3-402G11.26,chr22,50637518,1.268088513788884,0.2047663429237332
ENSG00000100399,CHADL,chr22,41625516,1.24916094066284,0.2116062149308574
ENSG00000186716,BCR,chr22,23521890,-1.2195779075026216,0.22262492558657987
ENSG00000128335,APOL2,chr22,36622255,1.1939649781343082,0.23249166789328024
ENSG00000184381,PLA2G6,chr22,38507501,-1.1462374002832032,0.2516969367324471
ENSG00000100393,EP300,chr22,41487789,1.1404553414291974,0.2540966480261841
ENSG00000100368,CSF2RB,chr22,37309669,-1.1303477617418125,0.2583297165226539
ENSG00000099956,SMARCB1,chr22,24129149,-1.1118334051024763,0.2662097860974769
ENSG00000100023,PPIL2,chr22,22006558,1.1012564892027177,0.2707850423771252
ENSG00000100350,FOXRED2,chr22,36883236,1.0880809649659775,0.2765593661532293
ENSG00000100227,POLDIP3,chr22,42979726,-1.0849078893661497,0.2779624534086652
ENSG00000100294,MCAT,chr22,43528211,1.0632692300956594,0.2876598748942077
ENSG00000100075,SLC25A1,chr22,19163094,-1.0578968556368498,0.29010246888105273
ENSG00000189306,RRP7A,chr22,42905973,1.050854639822005,0.2933253561867136
ENSG00000272821,CTA-384D8.36,chr22,50962354,-1.015526578439654,0.30985488366261804
ENSG00000100033,PRODH,chr22,18900293,-1.0138881243196944,0.31063613867173445
ENSG00000183569,SERHL2,chr22,42949622,-1.0064932636576671,0.3141783504519594
ENSG00000244509,APOBEC3C,chr22,39410087,0.9989998877315224,0.31779474566834065
ENSG00000093010,COMT,chr22,19929129,0.9938743325324207,0.32028405185818604
ENSG00000273295,AP000350.5,chr22,24243618,-0.9922577478365296,0.3210718087711437
ENSG00000099974,DDTL,chr22,24309088,0.9914492889491434,0.3214662427503465
ENSG00000184113,CLDN5,chr22,19510546,-0.9771310280793589,0.32850428843114354
ENSG00000237517,DGCR5,chr22,18958037,-0.925050683324347,0.3549395442318115
ENSG00000206145,P2RX6P,chr22,21389531,-0.9223007369416092,0.35637172974240217
ENSG00000205632,WI2-81516E3.1,chr22,49288728,0.9145800325198252,0.3604121450871669
ENSG00000100151,PICK1,chr22,38452317,0.9059148463609964,0.3649809255739628
ENSG00000100027,YPEL1,chr22,22051832,-0.8927951091038053,0.3719669060072648
ENSG00000189060,H1F0,chr22,38201113,0.8919977105843401,0.3723941595201527
ENSG00000244627,RP3-449O17.1,chr22,38731766,0.8896270985878981,0.3736661505044667
ENSG00000183773,AIFM3,chr22,21319395,0.8830664600870166,0.3772003643639407
ENSG00000100376,FAM118A,chr22,45704848,-0.8743130206061872,0.3819478103984554
ENSG00000093000,NUP50,chr22,45559721,0.8638321670587127,0.3876800944352629
ENSG00000272720,CTA-228A9.3,chr22,38486133,0.8619919721029108,0.3886919355038241
ENSG00000183579,ZNRF3,chr22,29279579,-0.8578850626945496,0.3909559331355735
ENSG00000100228,RAB36,chr22,23487512,-0.8498753126627177,0.3953944123093881
ENSG00000070413,DGCR2,chr22,19023794,0.8267735787639406,0.408365408143872
ENSG00000015475,BID,chr22,18216905,0.8225912409937268,0.41074048130332497
ENSG00000237037,NDUFA6-AS1,chr22,42486934,0.8052512403584794,0.4206747129366739
ENSG00000100116,GCAT,chr22,38203911,-0.7986184196972516,0.4245117037235656
ENSG00000243156,MICAL3,chr22,18270414,0.7954874817593494,0.4263299899353583
ENSG00000099910,KLHL22,chr22,20795805,0.787160785190733,0.4311877499653192
ENSG00000183597,TANGO2,chr22,20004536,-0.7779287592188806,0.4366110128011375
ENSG00000100122,CRYBB1,chr22,26995241,-0.7686777710914611,0.4420846241812114
ENSG00000100106,TRIOBP,chr22,38093010,-0.7540855475746416,0.4507978549961664
ENSG00000272733,KB-208E9.1,chr22,23923066,0.7437796923642584,0.4570097678111989
ENSG00000054611,TBC1D22A,chr22,47158517,-0.7432855410623409,0.4573088235628039
ENSG00000236754,AC004019.13,chr22,18062922,-0.7218712568283081,0.4703736344755377
ENSG00000100104,SRRD,chr22,26879842,0.7101222543250014,0.4776283270486836
ENSG00000099984,GSTT2,chr22,24322338,0.7100923964187679,0.4776468411395531
ENSG00000100068,LRP5L,chr22,25747384,-0.6988398737173938,0.4846521065353371
ENSG00000188511,C22orf34,chr22,49808175,-0.6893793333848273,0.4905845853780535
ENSG00000230701,FBXW4P1,chr22,23605322,0.6888252624779422,0.4909332359943936
ENSG00000100156,SLC16A8,chr22,38474140,0.6876140920778308,0.4916958316091257
ENSG00000213923,CSNK1E,chr22,38686696,0.6855069540965472,0.4930240739146465
ENSG00000099977,DDT,chr22,24313553,-0.6799533983618159,0.4965339688709421
ENSG00000186998,EMID1,chr22,29601839,0.668308553514835,0.5039366545078164
ENSG00000128274,A4GALT,chr22,43088126,0.6680060123400143,0.5041297546549128
ENSG00000025708,TYMP,chr22,50964180,0.6667091943459632,0.5049579047143586
ENSG00000133460,SLC2A11,chr22,24198889,-0.6616214457875979,0.508213859835583
ENSG00000222044,RP5-1039K5.16,chr22,38428171,0.6587264605351745,0.5100714381222672
ENSG00000133466,C1QTNF6,chr22,37576206,0.6527832604314479,0.5138960168178738
ENSG00000133422,MORC2,chr22,31321116,0.6482154633970231,0.5168456017965463
ENSG00000168135,KCNJ4,chr22,38822331,-0.6423441767692566,0.5206497366056182
ENSG00000235568,NFAM1,chr22,42776415,-0.6391182118659056,0.5227460331979068
ENSG00000133433,GSTT2B,chr22,24299600,0.6381449932821169,0.5233793002195648
ENSG00000100304,TTLL12,chr22,43562627,-0.6319426967549501,0.5274243221795977
ENSG00000186732,MPPED1,chr22,43807201,-0.6299330886990919,0.5287383629401666
ENSG00000100284,TOM1,chr22,35695267,-0.6250343731917833,0.5319484984599179
ENSG00000070371,CLTCL1,chr22,19166985,0.6239390986397926,0.5326675816966859
ENSG00000093100,XXbac-B461K10.4,chr22,18270417,-0.620314866190408,0.5350505093747628
ENSG00000188064,WNT7B,chr22,46316241,0.6165605688992541,0.5375246096571057
ENSG00000099991,CABIN1,chr22,24407764,-0.6158990022463935,0.5379611801248547
ENSG00000184470,TXNRD2,chr22,19863041,-0.6140723383446027,0.5391675263857264
ENSG00000100413,POLR3H,chr22,41921807,-0.6094312882943006,0.5422386042314168
ENSG00000100099,HPS4,chr22,26847445,-0.5898147596272112,0.5553148463290177
ENSG00000225783,MIAT,chr22,27042391,0.5845400942202903,0.558856998391984
ENSG00000239713,APOBEC3G,chr22,39436923,-0.5774064571957214,0.5636649131848428
ENSG00000100417,PMM1,chr22,41972897,0.5712951491747142,0.5677995893546366
ENSG00000093072,CECR1,chr22,17660193,-0.5640242523265235,0.5727376270928989
ENSG00000099942,CRKL,chr22,21271713,0.5634573733728945,0.5731234785933007
ENSG00000228315,GUSBP11,chr22,23980673,0.5427708525776554,0.5872875840516568
ENSG00000237476,XXbac-B135H6.15,chr22,21311379,-0.539000446683828,0.5898865463390806
ENSG00000099899,TRMT2A,chr22,20099388,-0.5386255170721175,0.5901452769051355
ENSG00000128185,DGCR6L,chr22,20301798,-0.5204604341016942,0.6027426978458201
ENSG00000130489,SCO2,chr22,50961996,-0.5122106075286865,0.6085036200179336
ENSG00000100024,UPB1,chr22,24863205,0.4943023921236517,0.6210926359893374
ENSG00000186575,NF2,chr22,29999544,0.4756973513913466,0.6342900081429501
ENSG00000183506,PI4KAP2,chr22,21827288,0.474325805902481,0.6352675919886182
ENSG00000100065,CARD10,chr22,37886399,0.4732455015182496,0.6360380385560749
ENSG00000205643,CDPF1,chr22,46639907,0.4429469486483448,0.6578041077887125
ENSG00000100300,TSPO,chr22,43547519,0.4283519204858577,0.6683949234156734
ENSG00000100288,CHKB,chr22,51017377,0.4257769175228308,0.6702704080492821
ENSG00000244486,SCARF2,chr22,20778873,-0.4138468732884669,0.6789862535626844
ENSG00000182841,RRP7B,chr22,42951228,-0.4127330849118868,0.6798021820690365
ENSG00000184949,FAM227A,chr22,38974124,-0.4030098769210811,0.68694095851273
ENSG00000236670,KRT18P5,chr22,20837101,0.39505389332771307,0.6928031148177476
ENSG00000241484,ARHGAP8,chr22,45098354,0.3844303556243485,0.7006595053001459
ENSG00000237438,CECR7,chr22,17517459,-0.3820382951446988,0.7024329597121188
ENSG00000100003,SEC14L2,chr22,30792845,0.3780603135159503,0.7053857893461428
ENSG00000099940,SNAP29,chr22,21213270,-0.37044022805803256,0.7110545046758022
ENSG00000100427,MLC1,chr22,50497819,-0.3514565101844214,0.7252458938290607
ENSG00000272779,LL22NC03-80A10.6,chr22,22657588,-0.34816657869151896,0.7277150857385971
ENSG00000100258,LMF2,chr22,50941375,-0.3391256893821419,0.7345150465938979
ENSG00000272973,KB-1125A3.11,chr22,24198613,-0.3359050080083328,0.7369425004277742
ENSG00000100150,DEPDC5,chr22,32149964,-0.3351541946991561,0.7375087730353249
ENSG00000243902,RP1-63G5.5,chr22,37735623,0.3240594327519892,0.7458930390013836
ENSG00000100211,CBY1,chr22,39052640,0.3090966708516413,0.7572479915524156
ENSG00000186951,PPARA,chr22,46546423,0.3061288938858001,0.7595065091761133
ENSG00000025770,NCAPH2,chr22,50946644,0.2714917599691072,0.7860128364011633
ENSG00000241973,PI4KA,chr22,21061978,0.2657797877703753,0.7904088105432268
ENSG00000128253,RFPL2,chr22,32586421,0.2558205505785705,0.7980894047363745
ENSG00000128245,YWHAH,chr22,32340446,-0.2502163470699921,0.8024200441317191
ENSG00000100058,CRYBB2P1,chr22,25844071,0.2435873540588524,0.8075504233341826
ENSG00000235513,RP4-756G23.5,chr22,41605125,-0.24312485754489896,0.8079086753026545
ENSG00000240972,MIF,chr22,24236190,0.23630035551260714,0.8131996110894113
ENSG00000077942,FBLN1,chr22,45898117,0.2312728464603424,0.817102840277846
ENSG00000183785,TUBA8,chr22,18593452,-0.23103179037570956,0.8172901048742239
ENSG00000239900,ADSL,chr22,40761042,-0.22079065656631466,0.8252554390416975
ENSG00000273000,KB-1572G7.2,chr22,23995046,0.2165377788502461,0.8285685803436936
ENSG00000184058,TBX1,chr22,19744225,0.1905014478547959,0.8489162087375125
ENSG00000169184,MN1,chr22,28144264,-0.18224149888908056,0.8553932068533769
ENSG00000272977,CTA-390C10.10,chr22,25872184,0.17053565534675502,0.8645888961144721
ENSG00000100336,APOL4,chr22,36585171,-0.1701335723526859,0.8649050914650762
ENSG00000241878,PISD,chr22,32014476,-0.16570202980857268,0.8683914485844431
ENSG00000177663,IL17RA,chr22,17565843,0.16459670437002374,0.8692614253684364
ENSG00000273203,AC006946.16,chr22,17548710,-0.15885631503585082,0.8737820791014269
ENSG00000183307,CECR6,chr22,17597188,-0.1586426268495595,0.8739504426847364
ENSG00000100083,GGA1,chr22,38004480,-0.15309150207344555,0.8783261172456999
ENSG00000261188,CTA-445C9.14,chr22,26908502,-0.13723972228508452,0.8908413140984174
ENSG00000198832,SELM,chr22,31500757,-0.12199302821077115,0.9029045397124807
ENSG00000100344,PNPLA3,chr22,44319618,-0.10897266572114386,0.91322417079134
ENSG00000100139,MICALL1,chr22,38301663,-0.0856828663544798,0.931718522701153
ENSG00000214491,SEC14L6,chr22,30918785,0.07383639957661732,0.9411405633876222
ENSG00000183628,DGCR6,chr22,18893540,0.06256196773270009,0.9501153154142123
ENSG00000172346,CSDC2,chr22,41956766,-0.04371156909773133,0.965134317225927
ENSG00000100181,TPTEP1,chr22,17082776,0.039204015326166526,0.9687277323319664
ENSG00000075234,TTC38,chr22,46663857,-0.030166269612247026,0.9759344492319136
ENSG00000100379,KCTD17,chr22,37447778,-0.02431265449639842,0.9806032192869016
ENSG00000099994,SUSD2,chr22,24577226,0.003640558248320651,0.9970952611973684
ENSG00000040608,RTN4R,chr22,20228937,,
ENSG00000073150,PANX2,chr22,50609159,,
ENSG00000075240,GRAMD4,chr22,47016298,,
ENSG00000100055,CYTH4,chr22,37678067,,
ENSG00000100084,HIRA,chr22,19318220,,
ENSG00000100095,SEZ6L,chr22,26565439,,
ENSG00000100138,NHP2L1,chr22,42069933,,
ENSG00000100146,SOX10,chr22,38366692,,
ENSG00000100246,DNAL4,chr22,39174512,,
ENSG00000100276,RASL10A,chr22,29708921,,
ENSG00000100280,AP1B1,chr22,29723670,,
ENSG00000100362,PVALB,chr22,37196727,,
ENSG00000100412,ACO2,chr22,41865128,,
ENSG00000128191,DGCR8,chr22,20067754,,
ENSG00000128203,ASPHD2,chr22,26825238,,
ENSG00000130638,ATXN10,chr22,46067677,,
ENSG00000133424,LARGE,chr22,33558211,,
ENSG00000138964,PARVG,chr22,44568835,,
ENSG00000167065,DUSP18,chr22,31048037,,
ENSG00000183765,CHEK2,chr22,29083730,,
ENSG00000183864,TOB2,chr22,41829495,,
ENSG00000185133,INPP5J,chr22,31518716,,
ENSG00000185721,DRG1,chr22,31822726,,
ENSG00000187051,RPS19BP1,chr22,39925097,,
ENSG00000187792,ZNF70,chr22,24083768,,
ENSG00000198355,PIM3,chr22,50354160,,
ENSG00000198911,SREBF2,chr22,42229108,,
ENSG00000206140,TMEM191C,chr22,21820711,,
ENSG00000218537,AP000350.4,chr22,24236612,,
ENSG00000221963,APOL6,chr22,36044441,,
ENSG00000226328,CTA-217C2.1,chr22,45528900,,
ENSG00000234353,AP000347.4,chr22,23980678,,
ENSG00000261675,RP5-1119A7.17,chr22,36956916,,
